성별,성별코드,나이,수면시간,하루공부시간,SNS사용시간,중간,기말,과제,총점,A등급여부
남,0,21,6.8,3.7,1.5,53,55,79,61.6,0
남,0,24,4.7,0.9,2.2,70,94,74,80.8,0
남,0,21,6.9,3.1,1.9,62,75,71,69.9,0
남,0,26,7.9,4.8,2.0,71,59,81,69.2,0
남,0,18,7.5,5.5,2.4,68,53,73,63.5,0
여,1,25,5.7,4.2,1.6,83,67,82,76.3,0
여,1,24,4.9,5.1,2.5,63,63,64,63.3,0
여,1,19,6.1,2.3,3.3,53,53,49,51.8,0
여,1,25,10.4,2.8,2.3,76,79,60,72.4,0
여,1,18,4.6,1.8,1.4,78,65,85,74.9,0
남,0,28,5.5,2.9,1.5,77,53,78,67.7,0
여,1,29,7.0,4.3,1.8,84,72,66,73.8,0
여,1,26,6.4,3.7,1.5,57,90,66,72.9,0
남,0,26,6.3,4.4,1.2,65,95,41,69.8,0
여,1,19,8.9,2.6,2.1,91,51,80,71.7,0
남,0,24,5.5,2.6,1.8,85,60,87,75.6,0
여,1,27,6.5,3.7,2.2,79,60,52,63.3,0
남,0,20,6.7,2.9,2.9,67,77,48,65.3,0
여,1,24,5.5,4.8,1.8,51,48,91,61.8,0
여,1,29,4.8,2.9,1.1,62,48,75,60.3,0
남,0,27,6.8,3.0,1.7,53,83,61,67.4,0
남,0,26,8.7,3.9,2.6,75,84,81,80.4,0
남,0,21,7.0,3.1,2.5,74,61,65,66.1,0
남,0,29,6.6,2.3,2.4,79,81,97,85.2,1
남,0,18,6.6,2.4,1.5,60,83,93,79.1,0
남,0,19,6.2,4.0,2.6,56,96,51,70.5,0
남,0,18,7.9,2.1,2.8,80,73,56,70.0,0
남,0,29,5.9,4.9,1.4,93,96,53,82.2,0
여,1,22,4.9,2.8,2.0,59,80,53,65.6,0
여,1,22,4.6,4.1,3.6,88,82,96,88.0,1
남,0,28,6.6,2.9,1.4,62,83,73,73.7,0
여,1,24,7.8,2.6,0.6,80,94,92,89.2,1
여,1,26,6.8,3.7,3.1,56,81,96,78.0,0
여,1,26,6.1,4.6,2.9,91,96,59,83.4,0
여,1,20,7.1,3.3,1.6,91,79,50,73.9,0
남,0,20,6.7,3.4,1.9,85,51,55,62.4,0
여,1,20,7.5,4.3,1.0,69,71,90,76.1,0
남,0,21,8.1,4.3,2.1,53,72,70,65.7,0
여,1,25,5.4,3.5,2.9,56,66,94,71.4,0
여,1,23,3.7,3.1,1.6,50,58,45,51.7,0
여,1,25,6.1,3.6,2.7,93,51,95,76.8,0
남,0,18,5.3,3.3,2.4,94,81,58,78.0,0
여,1,25,7.5,3.8,2.5,91,66,76,76.5,0
남,0,21,5.6,2.3,1.6,62,49,97,67.3,0
여,1,28,4.2,3.8,1.7,71,99,43,73.8,0
남,0,18,5.8,2.8,0.5,70,46,86,65.2,0
여,1,25,4.7,4.4,1.5,71,71,43,62.6,0
남,0,21,8.4,2.8,2.9,77,65,59,66.8,0
남,0,23,7.1,2.8,1.3,58,98,49,71.3,0
여,1,25,7.3,3.9,1.4,75,82,63,74.2,0
남,0,21,7.1,3.5,2.5,58,59,93,68.9,0
여,1,20,7.5,5.8,2.3,64,65,74,67.4,0
여,1,26,7.9,1.9,2.6,59,54,65,58.8,0
여,1,20,5.9,3.6,1.1,73,67,76,71.5,0
여,1,26,4.8,4.6,4.1,91,83,77,83.6,0
여,1,19,5.5,2.9,1.0,57,49,60,54.7,0
여,1,19,6.4,2.6,2.1,73,45,93,67.8,0
여,1,19,3.4,2.6,1.9,65,57,79,66.0,0
여,1,23,7.9,1.9,1.1,75,65,78,71.9,0
여,1,20,4.2,4.8,1.7,76,70,60,68.8,0
여,1,26,7.2,3.2,2.0,86,94,49,78.1,0
여,1,21,6.3,3.1,1.5,53,89,77,74.6,0
남,0,18,6.8,1.4,2.7,73,65,85,73.4,0
남,0,21,5.9,2.1,1.9,68,97,43,72.1,0
여,1,18,6.8,5.0,0.9,85,62,99,80.0,0
여,1,22,5.9,3.8,0.9,88,81,96,87.6,1
여,1,21,5.8,4.7,2.5,59,89,84,78.5,0
여,1,25,5.4,4.5,0.8,74,76,59,70.3,0
여,1,25,8.3,2.5,2.3,67,80,56,68.9,0
여,1,24,6.9,5.9,2.4,68,61,94,73.0,0
여,1,20,6.8,5.4,1.2,85,79,46,70.9,0
여,1,18,5.4,2.9,2.7,59,93,43,67.8,0
남,0,18,6.2,-0.1,0.6,82,55,68,67.0,0
여,1,29,5.3,3.1,2.2,54,65,53,58.1,0
남,0,28,5.9,3.7,2.0,84,96,42,76.2,0
여,1,20,5.0,2.9,1.9,93,99,63,86.4,1
여,1,23,8.4,3.3,1.1,83,97,76,86.5,1
남,0,24,5.6,2.7,1.3,82,70,55,69.1,0
여,1,23,5.4,4.4,3.3,70,48,97,69.3,0
남,0,23,4.9,3.6,3.0,66,78,94,79.2,0
여,1,23,5.6,4.5,2.6,71,96,91,87.0,1
여,1,20,5.9,4.7,2.8,86,92,43,75.5,0
남,0,23,6.4,1.3,2.7,64,62,95,72.5,0
여,1,25,5.7,2.7,1.7,84,84,63,77.7,0
남,0,28,4.6,2.9,2.0,77,79,73,76.6,0
여,1,28,4.7,6.1,0.8,56,85,69,71.5,0
남,0,19,7.3,3.6,1.9,81,73,57,70.6,0
남,0,22,6.4,4.3,2.9,60,96,58,73.8,0
여,1,18,7.3,1.6,1.5,59,73,70,67.9,0
여,1,29,7.4,3.6,2.8,58,82,99,79.9,0
남,0,18,6.7,4.5,2.1,63,86,99,83.0,0
여,1,22,5.0,4.4,0.9,62,65,58,62.0,0
여,1,29,6.7,4.1,1.1,74,86,88,83.0,0
여,1,20,8.2,3.5,2.7,51,57,85,63.6,0
남,0,21,6.0,3.6,2.4,84,93,58,79.8,0
남,0,20,6.9,1.8,2.1,56,85,61,69.1,0
남,0,18,6.5,2.6,1.8,70,61,63,64.3,0
남,0,18,8.1,3.7,2.2,67,53,84,66.5,0
남,0,29,5.7,2.8,2.7,52,85,51,64.9,0
남,0,29,7.9,4.2,3.2,91,45,69,66.0,0
남,0,22,6.0,4.0,3.2,88,46,97,73.9,0
남,0,23,5.7,4.9,2.3,90,92,77,86.9,1
남,0,20,6.6,4.5,1.9,60,73,92,74.8,0
여,1,29,6.9,3.7,2.1,88,77,70,78.2,0
남,0,26,8.8,4.2,2.4,73,54,75,66.0,0
여,1,22,6.9,4.5,2.4,68,94,58,75.4,0
여,1,25,6.7,3.0,3.0,53,84,87,75.6,0
여,1,18,8.4,3.2,3.7,75,65,84,73.7,0
남,0,22,7.2,3.4,1.8,87,72,75,77.4,0
남,0,20,5.7,3.0,3.7,91,55,69,70.0,0
남,0,29,8.1,4.5,2.9,81,99,94,92.1,1
남,0,18,5.6,2.9,1.9,88,78,88,84.0,0
여,1,21,5.7,4.8,3.2,94,52,94,77.2,0
남,0,22,5.5,3.1,3.3,85,66,72,73.5,0
남,0,24,5.4,4.0,1.6,89,52,57,64.6,0
남,0,18,6.9,3.7,3.4,86,93,91,90.3,1
남,0,20,6.2,2.5,2.9,82,59,88,74.6,0
남,0,19,2.3,3.5,3.9,85,61,98,79.3,0
여,1,26,6.2,3.8,1.7,52,67,67,62.5,0
남,0,27,5.9,3.4,1.7,58,68,98,74.0,0
여,1,23,7.6,2.2,0.4,57,89,86,78.5,0
남,0,27,5.8,5.2,2.5,82,63,50,64.8,0
여,1,20,9.5,3.6,2.3,55,49,96,64.9,0
남,0,25,8.2,2.7,1.5,90,76,99,87.1,1
남,0,25,6.0,5.1,1.9,88,88,93,89.5,1
여,1,19,7.9,4.1,1.0,53,45,84,59.1,0
여,1,23,7.1,2.3,3.0,62,67,72,67.0,0
여,1,24,6.8,2.5,1.6,51,81,56,64.5,0
남,0,19,7.5,3.3,4.5,54,52,45,50.5,0
여,1,28,6.6,3.8,1.9,93,57,43,63.6,0
남,0,27,6.8,4.1,1.4,76,52,59,61.3,0
남,0,19,7.5,4.5,1.7,81,67,87,77.2,0
여,1,27,9.0,4.0,0.9,70,87,86,81.6,0
여,1,18,6.8,4.8,2.4,57,45,66,54.9,0
남,0,25,6.0,3.6,1.7,87,89,54,77.9,0
남,0,18,4.1,2.7,2.9,57,95,45,68.6,0
여,1,26,8.9,3.5,1.8,52,68,86,68.6,0
여,1,28,6.2,3.4,3.1,93,79,53,75.4,0
여,1,23,7.1,0.9,2.6,52,68,99,72.5,0
남,0,24,8.8,2.9,2.0,71,61,50,60.7,0
남,0,27,6.8,3.8,3.3,55,49,78,59.5,0
남,0,24,6.3,3.1,2.8,51,64,48,55.3,0
남,0,27,8.2,2.9,4.4,72,65,65,67.1,0
남,0,20,7.1,4.4,1.7,93,84,55,78.0,0
남,0,19,7.2,2.6,2.1,51,75,44,58.5,0
여,1,26,4.7,4.2,3.3,87,90,96,90.9,1
남,0,25,7.9,2.2,0.8,66,80,91,79.1,0
남,0,29,7.0,6.3,3.1,84,55,49,61.9,0
남,0,27,4.9,3.3,2.4,83,96,89,90.0,1
여,1,24,7.1,3.2,1.3,72,59,42,57.8,0
남,0,26,4.0,4.6,0.9,79,63,52,64.5,0
남,0,21,9.3,3.1,1.5,57,51,82,62.1,0
여,1,21,5.2,5.0,0.2,71,95,88,85.7,1
남,0,18,8.4,3.9,1.6,93,72,69,77.4,0
남,0,25,5.5,3.4,2.5,85,95,93,91.4,1
남,0,29,7.2,3.3,1.6,54,87,84,76.2,0
남,0,20,5.4,4.7,3.1,62,49,45,51.7,0
남,0,24,7.7,3.7,3.3,78,49,56,59.8,0
여,1,29,6.2,3.9,3.0,80,74,98,83.0,0
여,1,19,7.1,4.0,2.2,65,98,84,83.9,0
여,1,19,6.5,3.6,0.1,91,76,90,84.7,0
남,0,24,4.9,4.0,1.4,79,52,92,72.1,0
남,0,23,7.1,3.4,1.9,65,54,58,58.5,0
남,0,20,5.9,3.5,1.3,61,82,81,75.4,0
여,1,26,7.8,2.4,1.9,66,91,74,78.4,0
남,0,27,6.2,3.8,3.3,65,76,85,75.4,0
남,0,23,6.4,1.8,0.7,61,92,65,74.6,0
여,1,27,8.5,3.8,3.4,57,72,90,72.9,0
남,0,27,9.4,3.2,2.7,69,61,44,58.3,0
여,1,23,7.4,3.9,2.2,52,75,68,66.0,0
여,1,18,6.2,2.5,1.4,65,52,76,63.1,0
여,1,21,6.1,1.4,1.3,79,84,59,75.0,0
남,0,27,5.5,3.1,0.7,94,69,88,82.2,0
남,0,23,5.7,2.5,3.4,72,53,60,60.8,0
남,0,23,6.2,1.7,3.2,77,46,49,56.2,0
남,0,28,8.9,4.3,0.9,89,59,44,63.5,0
남,0,29,6.3,5.1,1.6,54,94,75,76.3,0
남,0,22,5.0,2.7,2.3,69,47,45,53.0,0
남,0,18,6.5,3.4,1.8,89,93,65,83.4,0
여,1,25,6.7,3.2,0.5,93,80,43,72.8,0
남,0,22,6.5,2.8,1.5,50,48,78,57.6,0
여,1,29,7.5,4.2,3.6,79,58,78,70.3,0
남,0,29,6.6,4.5,1.5,70,85,89,81.7,0
남,0,29,7.4,2.6,1.9,69,85,74,76.9,0
남,0,22,5.6,3.5,1.1,55,69,40,56.1,0
여,1,24,8.6,4.8,2.5,71,99,63,79.8,0
여,1,21,6.8,4.2,2.1,67,94,96,86.5,1
여,1,23,7.0,4.3,1.4,57,54,75,61.2,0
여,1,21,5.6,4.9,1.0,88,65,45,65.9,0
남,0,20,7.1,4.9,3.1,81,80,80,80.3,0
여,1,24,7.3,4.5,0.7,82,56,93,74.9,0
남,0,25,5.1,3.6,2.4,65,71,85,73.4,0
남,0,21,4.5,3.1,0.3,61,84,99,81.6,0
여,1,19,6.9,3.6,2.6,87,46,83,69.4,0
여,1,29,5.9,3.0,2.8,83,98,99,93.8,1
여,1,27,6.8,1.5,2.9,63,57,96,70.5,0
여,1,20,5.0,3.2,1.9,85,97,70,85.3,1
여,1,18,4.6,3.9,3.3,82,76,59,72.7,0
여,1,25,6.7,2.9,3.8,72,75,63,70.5,0
여,1,20,6.1,3.3,1.7,94,60,64,71.4,0
여,1,29,4.0,3.3,1.6,51,76,75,68.2,0
남,0,27,8.1,4.9,2.1,90,76,60,75.4,0
여,1,24,4.9,3.1,1.6,70,78,69,72.9,0
여,1,27,9.6,4.9,1.5,51,55,63,56.2,0
남,0,22,5.8,0.8,1.6,76,54,83,69.3,0
여,1,27,7.0,4.8,3.4,58,59,81,65.3,0
남,0,22,8.5,4.8,2.6,50,61,69,60.1,0
남,0,24,8.3,4.4,1.6,60,84,61,69.9,0
여,1,26,8.9,1.5,0.0,52,62,67,60.5,0
남,0,29,4.7,4.5,0.8,72,99,46,75.0,0
남,0,22,5.1,3.4,2.4,75,53,74,65.9,0
남,0,18,6.8,1.0,0.3,53,69,94,71.7,0
남,0,27,7.5,4.8,2.2,67,84,67,73.8,0
여,1,27,6.5,4.9,1.1,55,58,53,55.6,0
남,0,18,4.5,1.6,2.1,84,69,95,81.3,0
여,1,19,7.1,3.7,2.1,71,94,49,73.6,0
남,0,23,6.3,4.9,2.1,92,66,55,70.5,0
남,0,26,6.3,4.7,1.7,64,96,55,74.1,0
남,0,25,3.8,4.3,1.7,71,74,93,78.8,0
남,0,22,7.5,0.9,1.4,86,64,70,72.4,0
여,1,18,6.7,4.2,2.4,91,65,81,77.6,0
여,1,24,8.7,3.3,2.6,61,88,64,72.7,0
남,0,22,6.4,4.5,1.0,91,76,52,73.3,0
남,0,23,7.2,3.8,2.0,87,95,45,77.6,0
여,1,24,7.5,3.5,2.2,67,90,83,81.0,0
남,0,20,4.4,4.1,2.1,94,93,48,79.8,0
남,0,29,9.6,3.3,2.1,84,65,84,76.4,0
남,0,27,6.0,3.5,1.7,79,79,75,77.8,0
여,1,20,7.1,2.9,2.2,73,76,95,80.8,0
여,1,22,7.3,1.9,2.5,91,74,82,81.5,0
여,1,23,5.5,4.1,2.1,79,99,59,81.0,0
남,0,26,8.7,2.7,2.4,63,83,57,69.2,0
남,0,29,6.8,3.3,2.8,55,93,97,82.8,0
여,1,22,6.2,3.8,0.5,52,56,82,62.6,0
여,1,18,6.7,1.4,2.8,65,85,96,82.3,0
여,1,21,7.4,1.6,2.3,56,91,60,71.2,0
여,1,22,6.5,3.2,1.1,63,62,43,56.6,0
남,0,29,7.6,4.0,2.6,58,65,89,70.1,0
여,1,27,4.5,4.2,1.7,64,57,72,63.6,0
남,0,27,5.6,1.9,1.8,70,65,66,66.8,0
여,1,22,3.9,4.1,1.6,84,52,46,59.8,0
남,0,24,8.9,3.3,2.2,51,90,45,64.8,0
여,1,21,8.9,2.6,1.4,76,84,54,72.6,0
여,1,18,7.3,2.9,2.7,51,90,57,68.4,0
여,1,22,5.3,4.3,1.9,84,51,71,66.9,0
여,1,24,9.4,3.8,1.7,67,67,95,75.4,0
남,0,27,5.8,3.6,2.6,63,88,50,69.1,0
여,1,27,6.2,3.7,1.7,69,76,59,68.8,0
남,0,23,6.7,4.4,2.8,67,55,63,61.0,0
남,0,22,7.0,3.4,2.8,59,66,54,60.3,0
남,0,21,7.3,3.6,0.9,74,66,87,74.7,0
남,0,19,7.3,4.6,2.9,51,87,46,63.9,0
여,1,21,6.3,3.2,0.8,74,69,60,67.8,0
남,0,27,7.3,4.1,2.9,82,66,81,75.3,0
남,0,27,6.3,3.0,3.6,85,72,65,73.8,0
남,0,20,7.2,3.1,2.7,80,73,83,78.1,0
여,1,27,7.1,3.4,0.3,63,57,95,70.2,0
여,1,18,7.4,4.0,2.9,50,62,53,55.7,0
여,1,25,7.3,4.7,3.8,65,46,96,66.7,0
여,1,22,6.0,3.6,1.8,52,73,76,67.6,0
남,0,21,7.1,2.0,2.0,84,65,97,80.3,0
남,0,25,7.3,4.1,1.0,90,59,60,68.6,0
여,1,24,5.0,6.0,2.2,55,96,57,72.0,0
